ligand,receptor,sender,receiver,ligand_mean,receptor_mean,score,sample
TNFSF10,TNFRSF10A,Endothelial,Fibroblasts,0.8157559,0.036708586,0.029945245,HJX
LGALS9,HAVCR2,Myeloid,Fibroblasts,1.0775696,0.027754776,0.029907703,HJX
VEGFA,FLT1,B_Plasma,Myeloid,0.22211233,0.13449554,0.029873118,HJX
IL18,IL18R1,Mast,T_cells,0.2733162,0.108875275,0.029757377,HJX
TGFB1,TGFBR1,B_Plasma,T_cells,0.35740015,0.08303677,0.029677356,HJX
CCL5,CCR4,T_cells,Endothelial,1.2914703,0.022916725,0.02959627,HJX
CCL3,CCR1,Epithelial,Myeloid,0.2488539,0.11890795,0.029590707,HJX
TNF,TNFRSF1B,Mast,Fibroblasts,0.07947416,0.37182993,0.02955087,HJX
IL1B,IL1R1,Mast,Epithelial,0.2553978,0.1156633,0.029540151,HJX
CSF1,CSF1R,Fibroblasts,Fibroblasts,0.2509553,0.11668389,0.029282443,HJX
BMP2,BMPR1A,B_Plasma,Mast,0.06429996,0.45538467,0.029281218,HJX
ANGPT2,TEK,Fibroblasts,Epithelial,0.45215753,0.06471483,0.029261297,HJX
TNF,TNFRSF1B,B_Plasma,Fibroblasts,0.07860051,0.37182993,0.029226022,HJX
ICOSLG,ICOS,Epithelial,T_cells,0.047487818,0.6136537,0.029141076,HJX
IL10,IL10RA,Myeloid,Myeloid,0.105085395,0.2768918,0.029097283,HJX
IL1B,IL1R1,T_cells,Fibroblasts,0.09811976,0.2962279,0.02906581,HJX
CCL3,CCR5,B_Plasma,Myeloid,0.332597,0.08682427,0.02887749,HJX
VSIR,VSIR,Epithelial,Fibroblasts,0.12583834,0.22917096,0.028838493,HJX
VSIR,VSIR,Fibroblasts,Epithelial,0.22917096,0.12583834,0.028838493,HJX
VEGFB,FLT1,Mast,Epithelial,0.14481473,0.19780883,0.028645633,HJX
CD80,CTLA4,Epithelial,T_cells,0.055949017,0.5098762,0.028527072,HJX
VEGFB,FLT1,B_Plasma,Myeloid,0.21206221,0.13449554,0.028521422,HJX
PVR,TIGIT,Mast,T_cells,0.06860561,0.4156939,0.028518934,HJX
CD86,CD28,Myeloid,Epithelial,0.49972045,0.056992102,0.02848012,HJX
LGALS9,HAVCR2,T_cells,Endothelial,0.3412623,0.08309982,0.028358836,HJX
CD86,CD28,Myeloid,Fibroblasts,0.49972045,0.056719918,0.028344102,HJX
CXCL12,CXCR4,Fibroblasts,Epithelial,0.17770673,0.15880977,0.028221564,HJX
CCL5,CCR1,Mast,Myeloid,0.23706487,0.11890795,0.028188897,HJX
IL10,IL10RA,Mast,Myeloid,0.10160452,0.2768918,0.02813346,HJX
VEGFA,FLT1,Mast,Myeloid,0.20835014,0.13449554,0.028022164,HJX
TGFB1,TGFBR1,B_Plasma,Fibroblasts,0.35740015,0.07805898,0.027898291,HJX
TNFSF10,TNFRSF10A,Myeloid,Myeloid,0.58281004,0.04780805,0.027863013,HJX
VEGFA,FLT1,Fibroblasts,Myeloid,0.20701379,0.13449554,0.02784243,HJX
CCL5,CCR5,T_cells,Endothelial,1.2914703,0.021545365,0.027825199,HJX
IL1B,IL1R1,Fibroblasts,Endothelial,0.17472284,0.159001,0.027781105,HJX
VEGFA,FLT1,Endothelial,Epithelial,0.14039025,0.19780883,0.027770432,HJX
CCL21,CCR7,T_cells,T_cells,0.094388165,0.29395545,0.027745916,HJX
NECTIN2,TIGIT,Fibroblasts,Endothelial,0.44729844,0.061988622,0.027727414,HJX
IL1B,IL1R1,B_Plasma,T_cells,0.19465639,0.14209437,0.027659578,HJX
BMP2,BMPR1A,Fibroblasts,Epithelial,0.104734845,0.26265764,0.027509408,HJX
CCL4,CCR1,Myeloid,Mast,1.0829751,0.025383452,0.027489647,HJX
TNF,TNFRSF1A,Epithelial,Myeloid,0.059033312,0.46405792,0.027394876,HJX
CCL5,CCR5,B_Plasma,Myeloid,0.3149523,0.08682427,0.027345505,HJX
TNF,TNFRSF1A,Epithelial,Fibroblasts,0.059033312,0.46307325,0.027336748,HJX
TNFSF10,TNFRSF10A,B_Plasma,B_Plasma,0.34947193,0.078102954,0.02729479,HJX
CXCL10,CXCR3,B_Plasma,T_cells,0.110226616,0.24747585,0.027278425,HJX
CD47,SIRPA,Epithelial,T_cells,0.32259595,0.084480464,0.027253056,HJX
CD86,CTLA4,B_Plasma,T_cells,0.053438317,0.5098762,0.027246926,HJX
TNFSF10,TNFRSF10A,Mast,Fibroblasts,0.7421263,0.036708586,0.027242407,HJX
CD47,SIRPA,Myeloid,T_cells,0.3224563,0.084480464,0.027241258,HJX
NECTIN2,TIGIT,Fibroblasts,Epithelial,0.44729844,0.060848724,0.027217539,HJX
NECTIN2,TIGIT,Mast,T_cells,0.06545524,0.4156939,0.027209345,HJX
CCL3,CCR5,Myeloid,B_Plasma,1.5336057,0.01772985,0.0271906,HJX
TNFSF10,TNFRSF10A,Epithelial,Myeloid,0.5684405,0.04780805,0.027176032,HJX
NECTIN2,TIGIT,Myeloid,B_Plasma,0.49739447,0.05461754,0.027166462,HJX
TGFB1,TGFBR1,Mast,Epithelial,0.46777594,0.05798245,0.027122794,HJX
CCL21,CCR7,Epithelial,Myeloid,0.13549052,0.19992001,0.027087267,HJX
TNFSF4,TNFRSF4,Endothelial,Endothelial,0.07877935,0.34371853,0.02707792,HJX
CXCL11,CXCR3,Myeloid,T_cells,0.109350614,0.24747585,0.027061636,HJX
CCL4,CCR5,Fibroblasts,Myeloid,0.31160668,0.08682427,0.027055021,HJX
TNFSF9,TNFRSF9,Fibroblasts,T_cells,0.07530773,0.35905167,0.027039366,HJX
EGF,EGFR,Epithelial,Fibroblasts,0.10391029,0.25812674,0.026822023,HJX
TNFSF4,TNFRSF4,Epithelial,Epithelial,0.14803934,0.18029049,0.026690084,HJX
CCL5,CCR3,Fibroblasts,Epithelial,0.7019609,0.03792985,0.026625274,HJX
CCL4,CCR5,Mast,T_cells,0.18960224,0.14029196,0.02659967,HJX
CCL5,CCR1,Epithelial,Mast,1.0416131,0.025383452,0.026439736,HJX
PDGFA,PDGFRA,Mast,Fibroblasts,0.11256117,0.23447637,0.026392935,HJX
CSF1,CSF1R,Fibroblasts,Epithelial,0.2509553,0.10466042,0.026265088,HJX
CXCL12,CXCR4,Fibroblasts,Mast,0.17770673,0.1477518,0.026256489,HJX
IFNG,IFNGR2,T_cells,Fibroblasts,0.065764524,0.39825657,0.026191154,HJX
CXCL16,CXCR6,Fibroblasts,T_cells,0.17367966,0.15049952,0.026138706,HJX
TGFB2,TGFBR1,Fibroblasts,B_Plasma,0.24361642,0.10728401,0.026136147,HJX
NECTIN2,TIGIT,Myeloid,Myeloid,0.49739447,0.052506994,0.02611669,HJX
