ligand,receptor,sender,receiver,ligand_mean,receptor_mean,score,sample
IL18,IL18R1,Mast,Mast,0.61132425,0.68012017,0.41577396,ZFL
CCL4,CCR5,NK,NK,2.2434614,0.1828071,0.41012067,ZFL
CXCL12,CXCR4,Endothelial,B_Plasma,0.51653033,0.73911136,0.38177344,ZFL
TGFB1,TGFBR2,NK,Fibroblasts,1.7413386,0.21671686,0.37737742,ZFL
TGFB1,TGFBR2,Myeloid,Endothelial,0.44228432,0.8224474,0.36375558,ZFL
TGFB1,TGFBR2,NK,B_Plasma,1.7413386,0.20224209,0.35217196,ZFL
CCL5,CCR5,T_cells,NK,1.8639083,0.1828071,0.34073567,ZFL
VEGFB,FLT1,Fibroblasts,Endothelial,0.47790402,0.71000963,0.33931646,ZFL
TNFSF14,TNFRSF14,NK,NK,0.7203293,0.45762953,0.32964396,ZFL
TGFB1,TGFBR2,B_Plasma,Endothelial,0.3974815,0.8224474,0.32690763,ZFL
CXCL12,CXCR4,Fibroblasts,B_Plasma,0.43791845,0.73911136,0.3236705,ZFL
TGFB1,TGFBR1,T_cells,NK,0.70036894,0.45762953,0.32050952,ZFL
TGFB1,TGFBR2,T_cells,NK,0.70036894,0.45762953,0.32050952,ZFL
TNFSF4,TNFRSF4,NK,NK,0.38917944,0.8232611,0.32039627,ZFL
VSIR,VSIR,Myeloid,Myeloid,0.56510955,0.56510955,0.3193488,ZFL
TGFB1,TGFBR2,NK,Mast,1.7413386,0.18212114,0.3171346,ZFL
TNF,TNFRSF1B,Myeloid,NK,0.24713282,1.2660002,0.3128702,ZFL
TGFB1,TGFBR1,Mast,NK,0.66367453,0.45762953,0.30371708,ZFL
TGFB1,TGFBR2,Mast,NK,0.66367453,0.45762953,0.30371708,ZFL
PDGFB,PDGFRB,NK,Fibroblasts,0.25867993,1.1384406,0.29449174,ZFL
IL18,IL18R1,Myeloid,Mast,0.42937818,0.68012017,0.29202875,ZFL
VEGFB,FLT1,Mast,Endothelial,0.40696886,0.71000963,0.2889518,ZFL
TNF,TNFRSF1B,T_cells,NK,0.2247909,1.2660002,0.28458533,ZFL
TNFSF10,TNFRSF10A,Mast,NK,1.1906414,0.23792446,0.2832827,ZFL
LGALS9,HAVCR2,Mast,NK,0.28210396,1.003384,0.28305858,ZFL
TNFSF10,TNFRSF10A,Endothelial,NK,1.1071792,0.23792446,0.263425,ZFL
VEGFB,FLT1,Epithelial,Endothelial,0.3709848,0.71000963,0.2634028,ZFL
IL18,IL18R1,Epithelial,Mast,0.3821371,0.68012017,0.25989914,ZFL
TNFSF10,TNFRSF10A,Epithelial,NK,1.0864445,0.23792446,0.25849172,ZFL
TGFB1,TGFBR2,NK,Myeloid,1.7413386,0.14432,0.25131,ZFL
CCL4,CCR5,Myeloid,NK,1.3618289,0.1828071,0.248952,ZFL
VEGFB,FLT1,Myeloid,Endothelial,0.3416938,0.71000963,0.24260588,ZFL
CCL5,CCR1,NK,Myeloid,2.3336265,0.10204218,0.23812835,ZFL
TGFB1,TGFBR2,Fibroblasts,Endothelial,0.28792688,0.8224474,0.23680472,ZFL
CCL3,CCR5,Myeloid,NK,1.2733517,0.1828071,0.23277773,ZFL
IL1B,IL1R1,Myeloid,Fibroblasts,0.7867786,0.29138485,0.22925536,ZFL
CCL4,CCR1,NK,Myeloid,2.2434614,0.10204218,0.2289277,ZFL
CCL5,CCR4,NK,T_cells,2.3336265,0.09729347,0.22704661,ZFL
TNF,TNFRSF1B,Myeloid,T_cells,0.24713282,0.9141563,0.22591802,ZFL
NECTIN2,TIGIT,NK,T_cells,0.478385,0.46764916,0.22371635,ZFL
TGFB1,TGFBR2,Endothelial,Endothelial,0.2714989,0.8224474,0.22329356,ZFL
TGFB1,TGFBR2,T_cells,T_cells,0.70036894,0.30632266,0.21453889,ZFL
TNFSF14,TNFRSF14,NK,Endothelial,0.7203293,0.29394326,0.21173593,ZFL
TNFSF4,TNFRSF4,NK,T_cells,0.38917944,0.53691363,0.20895575,ZFL
CSF1,CSF1R,NK,Myeloid,0.21970509,0.9499564,0.20871025,ZFL
CCL4,CCR5,T_cells,NK,1.1297541,0.1828071,0.20652707,ZFL
TNF,TNFRSF1B,T_cells,T_cells,0.2247909,0.9141563,0.20549402,ZFL
LGALS9,HAVCR2,Myeloid,Myeloid,0.7601426,0.26990834,0.20516883,ZFL
TGFB1,TGFBR2,Mast,T_cells,0.66367453,0.30632266,0.20329855,ZFL
TNFSF10,TNFRSF10A,Mast,Endothelial,1.1906414,0.17026047,0.20271917,ZFL
TGFB1,TGFBR1,Myeloid,NK,0.44228432,0.45762953,0.20240237,ZFL
TGFB1,TGFBR2,Myeloid,NK,0.44228432,0.45762953,0.20240237,ZFL
TGFB1,TGFBR1,NK,Myeloid,1.7413386,0.11449017,0.19936615,ZFL
TNFSF14,TNFRSF14,NK,T_cells,0.7203293,0.2741914,0.1975081,ZFL
LGALS9,HAVCR2,Myeloid,Mast,0.7601426,0.25627533,0.1948058,ZFL
CCL5,CCR1,T_cells,Myeloid,1.8639083,0.10204218,0.19019727,ZFL
TNFSF10,TNFRSF10A,Endothelial,Endothelial,1.1071792,0.17026047,0.18850885,ZFL
NECTIN2,TIGIT,Fibroblasts,T_cells,0.40069076,0.46764916,0.1873827,ZFL
TNFSF10,TNFRSF10A,Epithelial,Endothelial,1.0864445,0.17026047,0.18497856,ZFL
LGALS9,HAVCR2,NK,NK,0.1828071,1.003384,0.18342572,ZFL
VEGFB,FLT1,Endothelial,Endothelial,0.25824955,0.71000963,0.18335967,ZFL
NECTIN2,TIGIT,Endothelial,NK,0.8911466,0.20442195,0.18216993,ZFL
TGFB1,TGFBR1,B_Plasma,NK,0.3974815,0.45762953,0.18189928,ZFL
TGFB1,TGFBR2,B_Plasma,NK,0.3974815,0.45762953,0.18189928,ZFL
CCL5,CCR4,T_cells,T_cells,1.8639083,0.09729347,0.1813461,ZFL
TNF,TNFRSF1B,Myeloid,Myeloid,0.24713282,0.73052734,0.18053728,ZFL
TGFB1,TGFBR2,NK,Epithelial,1.7413386,0.10321083,0.179725,ZFL
TNF,TNFRSF1A,Myeloid,Endothelial,0.24713282,0.71831787,0.17751992,ZFL
TGFB1,TGFBR1,NK,T_cells,1.7413386,0.10170457,0.17710209,ZFL
VSIR,VSIR,Myeloid,Endothelial,0.56510955,0.30578104,0.17279978,ZFL
VSIR,VSIR,Endothelial,Myeloid,0.30578104,0.56510955,0.17279978,ZFL
TNFSF4,TNFRSF4,Mast,NK,0.20782024,0.8232611,0.17109032,ZFL
TNFSF14,TNFRSF14,NK,Myeloid,0.7203293,0.23350362,0.1681995,ZFL
NECTIN2,TIGIT,Myeloid,T_cells,0.35723436,0.46764916,0.16706035,ZFL
TNF,TNFRSF1B,T_cells,Myeloid,0.2247909,0.73052734,0.1642159,ZFL
IL18,IL18R1,T_cells,Mast,0.2410646,0.68012017,0.16395289,ZFL
PDGFB,PDGFRB,Myeloid,Fibroblasts,0.14225772,1.1384406,0.16195196,ZFL
TNFSF4,TNFRSF4,T_cells,NK,0.19660561,0.8232611,0.16185774,ZFL
TNF,TNFRSF1A,T_cells,Endothelial,0.2247909,0.71831787,0.16147132,ZFL
TGFB1,TGFBR2,Epithelial,Endothelial,0.19567482,0.8224474,0.16093226,ZFL
TNFSF10,TNFRSF10A,Fibroblasts,NK,0.6570234,0.23792446,0.15632193,ZFL
TNFSF10,TNFRSF10A,NK,NK,0.6478593,0.23792446,0.15414156,ZFL
VEGFB,FLT1,B_Plasma,Endothelial,0.21611686,0.71000963,0.15344505,ZFL
CSF1,CSF1R,Fibroblasts,Myeloid,0.15999775,0.9499564,0.15199089,ZFL
TGFB1,TGFBR2,T_cells,Fibroblasts,0.70036894,0.21671686,0.15178175,ZFL
CCL3,CCR5,NK,NK,0.8203835,0.1828071,0.14997193,ZFL
CSF1,CSF1R,T_cells,Myeloid,0.15782133,0.9499564,0.14992338,ZFL
VSIR,VSIR,Mast,Myeloid,0.26375058,0.56510955,0.14904797,ZFL
VSIR,VSIR,Myeloid,Mast,0.56510955,0.26375058,0.14904797,ZFL
VEGFB,FLT1,T_cells,Endothelial,0.20661148,0.71000963,0.14669615,ZFL
VSIR,VSIR,T_cells,Myeloid,0.25953647,0.56510955,0.14666654,ZFL
VSIR,VSIR,Myeloid,T_cells,0.56510955,0.25953647,0.14666654,ZFL
CCL19,CCR7,Fibroblasts,T_cells,0.3972442,0.3675187,0.14599466,ZFL
IL1B,IL1R1,Myeloid,Endothelial,0.7867786,0.18424192,0.1449576,ZFL
TGFB1,TGFBR2,Mast,Fibroblasts,0.66367453,0.21671686,0.14382946,ZFL
VSIR,VSIR,Fibroblasts,Myeloid,0.25354576,0.56510955,0.14328113,ZFL
VSIR,VSIR,Myeloid,Fibroblasts,0.56510955,0.25354576,0.14328113,ZFL
NECTIN2,TIGIT,Epithelial,T_cells,0.30630407,0.46764916,0.14324284,ZFL
TNFSF14,TNFRSF14,NK,Fibroblasts,0.7203293,0.19714436,0.14200886,ZFL
TGFB1,TGFBR2,T_cells,B_Plasma,0.70036894,0.20224209,0.14164408,ZFL
TNF,TNFRSF1A,Myeloid,Fibroblasts,0.24713282,0.57261723,0.14151251,ZFL
CD47,SIRPA,Epithelial,Myeloid,0.44538352,0.31281358,0.13932201,ZFL
CCL4,CCR1,Myeloid,Myeloid,1.3618289,0.10204218,0.138964,ZFL
IL18,IL18R1,Endothelial,Mast,0.20258442,0.68012017,0.13778175,ZFL
TNFSF14,TNFRSF14,NK,Mast,0.7203293,0.18862158,0.13586965,ZFL
TGFB1,TGFBR1,NK,Epithelial,1.7413386,0.07798171,0.13579257,ZFL
CXCL12,CXCR4,Endothelial,Myeloid,0.51653033,0.26249212,0.13558514,ZFL
CCL5,CCR5,NK,T_cells,2.3336265,0.05809392,0.13556951,ZFL
TGFB1,TGFBR2,Myeloid,T_cells,0.44228432,0.30632266,0.13548172,ZFL
TNFSF10,TNFRSF10A,T_cells,NK,0.56566405,0.23792446,0.1345853,ZFL
TGFB1,TGFBR1,NK,Fibroblasts,1.7413386,0.07717752,0.13439219,ZFL
TGFB1,TGFBR2,Mast,B_Plasma,0.66367453,0.20224209,0.13422292,ZFL
TGFB1,TGFBR1,Fibroblasts,NK,0.28792688,0.45762953,0.13176385,ZFL
TGFB1,TGFBR2,Fibroblasts,NK,0.28792688,0.45762953,0.13176385,ZFL
TNF,TNFRSF1A,Myeloid,Epithelial,0.24713282,0.5311656,0.13126846,ZFL
TNFSF10,TNFRSF10A,Myeloid,NK,0.5504189,0.23792446,0.13095812,ZFL
CCL4,CCR5,NK,T_cells,2.2434614,0.05809392,0.13033147,ZFL
CCL3,CCR1,Myeloid,Myeloid,1.2733517,0.10204218,0.12993558,ZFL
TNFSF10,TNFRSF10A,Mast,T_cells,1.1906414,0.108989745,0.1297677,ZFL
TNF,TNFRSF1A,T_cells,Fibroblasts,0.2247909,0.57261723,0.12871915,ZFL
TGFB1,TGFBR2,T_cells,Mast,0.70036894,0.18212114,0.12755199,ZFL
LGALS9,HAVCR2,Endothelial,Myeloid,0.47183824,0.26990834,0.12735307,ZFL
NECTIN2,TIGIT,Mast,T_cells,0.2667465,0.46764916,0.124743775,ZFL
IL18,IL18R1,NK,Mast,0.1828071,0.68012017,0.1243308,ZFL
TGFB1,TGFBR1,Endothelial,NK,0.2714989,0.45762953,0.12424591,ZFL
TGFB1,TGFBR2,Endothelial,NK,0.2714989,0.45762953,0.12424591,ZFL
TNF,TNFRSF1B,Myeloid,Endothelial,0.24713282,0.4932796,0.12190558,ZFL
CD47,SIRPA,Mast,Myeloid,0.38968107,0.31281358,0.12189753,ZFL
TGFB1,TGFBR2,B_Plasma,T_cells,0.3974815,0.30632266,0.12175759,ZFL
TGFB1,TGFBR1,NK,Endothelial,1.7413386,0.069453664,0.12094235,ZFL
LGALS9,HAVCR2,Endothelial,Mast,0.47183824,0.25627533,0.120920494,ZFL
TGFB1,TGFBR2,Mast,Mast,0.66367453,0.18212114,0.12086917,ZFL
TNFSF10,TNFRSF10A,Endothelial,T_cells,1.1071792,0.108989745,0.120671175,ZFL
CD47,SIRPA,T_cells,Myeloid,0.38553303,0.31281358,0.12059997,ZFL
IL18,IL18R1,Fibroblasts,Mast,0.17629479,0.68012017,0.11990164,ZFL
TNF,TNFRSF1A,T_cells,Epithelial,0.2247909,0.5311656,0.119401194,ZFL
TNFSF10,TNFRSF10A,Epithelial,T_cells,1.0864445,0.108989745,0.11841131,ZFL
TGFB1,TGFBR1,NK,Mast,1.7413386,0.06704386,0.11674607,ZFL
TNFSF14,TNFRSF14,NK,Epithelial,0.7203293,0.1610337,0.11599729,ZFL
CCL4,CCR1,T_cells,Myeloid,1.1297541,0.10204218,0.11528257,ZFL
CXCL12,CXCR4,Fibroblasts,Myeloid,0.43791845,0.26249212,0.11495014,ZFL
LGALS9,HAVCR2,T_cells,NK,0.113511704,1.003384,0.113895826,ZFL
CD86,CD28,Myeloid,T_cells,0.36248723,0.31307516,0.113485746,ZFL
VSIR,VSIR,Epithelial,Myeloid,0.20012036,0.56510955,0.11308993,ZFL
VSIR,VSIR,Myeloid,Epithelial,0.56510955,0.20012036,0.11308993,ZFL
TNFSF14,TNFRSF14,NK,B_Plasma,0.7203293,0.15596221,0.11234415,ZFL
TNFSF10,TNFRSF10A,Fibroblasts,Endothelial,0.6570234,0.17026047,0.11186511,ZFL
IL18,IL18R1,Mast,NK,0.61132425,0.1828071,0.11175442,ZFL
TNFSF4,TNFRSF4,Mast,T_cells,0.20782024,0.53691363,0.11158152,ZFL
TNF,TNFRSF1B,T_cells,Endothelial,0.2247909,0.4932796,0.11088477,ZFL
TNF,TNFRSF1A,Myeloid,Myeloid,0.24713282,0.44800803,0.11071749,ZFL
TNFSF10,TNFRSF10A,NK,Endothelial,0.6478593,0.17026047,0.110304825,ZFL
TNFSF10,TNFRSF10A,B_Plasma,NK,0.45982772,0.23792446,0.10940426,ZFL
LGALS9,HAVCR2,Epithelial,NK,0.10838906,1.003384,0.10875584,ZFL
CCL5,CCR5,T_cells,T_cells,1.8639083,0.05809392,0.10828174,ZFL
CD47,SIRPA,Myeloid,Myeloid,0.34475693,0.31281358,0.10784465,ZFL
TNFSF4,TNFRSF4,T_cells,T_cells,0.19660561,0.53691363,0.10556023,ZFL
CCL5,CCR5,Mast,NK,0.5686229,0.1828071,0.1039483,ZFL
IL18,IL18R1,B_Plasma,Mast,0.15062779,0.68012017,0.102445,ZFL
CD47,SIRPA,Fibroblasts,Myeloid,0.32491007,0.31281358,0.10163628,ZFL
TGFB1,TGFBR2,T_cells,Myeloid,0.70036894,0.14432,0.10107724,ZFL
TNF,TNFRSF1A,T_cells,Myeloid,0.2247909,0.44800803,0.10070813,ZFL
TNFSF10,TNFRSF10A,Mast,Epithelial,1.1906414,0.08324185,0.09911119,ZFL
LGALS9,HAVCR2,Fibroblasts,NK,0.09755355,1.003384,0.09788367,ZFL
NECTIN2,TIGIT,NK,NK,0.478385,0.20442195,0.097792394,ZFL
TNFSF10,TNFRSF10A,Mast,Mast,1.1906414,0.08198706,0.09761719,ZFL
TNFSF10,TNFRSF10A,T_cells,Endothelial,0.56566405,0.17026047,0.09631023,ZFL
VEGFA,FLT1,Myeloid,Endothelial,0.1354074,0.71000963,0.09614056,ZFL
TGFB1,TGFBR2,Myeloid,Fibroblasts,0.44228432,0.21671686,0.09585047,ZFL
TGFB1,TGFBR2,Mast,Myeloid,0.66367453,0.14432,0.095781505,ZFL
TNFSF10,TNFRSF10A,Myeloid,Endothelial,0.5504189,0.17026047,0.09371459,ZFL
VSIR,VSIR,Endothelial,Endothelial,0.30578104,0.30578104,0.093502045,ZFL
CD47,SIRPA,B_Plasma,Myeloid,0.29786226,0.31281358,0.09317536,ZFL
LGALS9,HAVCR2,B_Plasma,NK,0.09256927,1.003384,0.09288252,ZFL
PGF,KDR,Fibroblasts,Endothelial,0.34060106,0.272383,0.09277394,ZFL
CD86,CTLA4,Myeloid,T_cells,0.36248723,0.255916,0.09276628,ZFL
TNFSF4,TNFRSF4,NK,Mast,0.38917944,0.23796692,0.092611834,ZFL
TNFSF10,TNFRSF10A,Endothelial,Epithelial,1.1071792,0.08324185,0.092163645,ZFL
TNFSF10,TNFRSF10A,Mast,B_Plasma,1.1906414,0.07720784,0.09192685,ZFL
TNFSF10,TNFRSF10A,Endothelial,Mast,1.1071792,0.08198706,0.090774365,ZFL
TNFSF10,TNFRSF10A,Epithelial,Epithelial,1.0864445,0.08324185,0.09043765,ZFL
TGFB1,TGFBR1,Epithelial,NK,0.19567482,0.45762953,0.089546576,ZFL
TGFB1,TGFBR2,Epithelial,NK,0.19567482,0.45762953,0.089546576,ZFL
TGFB1,TGFBR2,Myeloid,B_Plasma,0.44228432,0.20224209,0.089448504,ZFL
TNFSF10,TNFRSF10A,Epithelial,Mast,1.0864445,0.08198706,0.08907439,ZFL
TGFB2,TGFBR2,Fibroblasts,Endothelial,0.10724399,0.8224474,0.08820254,ZFL
TGFB1,TGFBR2,Fibroblasts,T_cells,0.28792688,0.30632266,0.08819853,ZFL
CD47,SIRPA,Endothelial,Myeloid,0.27941117,0.31281358,0.08740361,ZFL
TGFB1,TGFBR2,B_Plasma,Fibroblasts,0.3974815,0.21671686,0.08614094,ZFL
TNFSF10,TNFRSF10A,Endothelial,B_Plasma,1.1071792,0.07720784,0.08548291,ZFL
CSF1,CSF1R,Endothelial,Myeloid,0.08960408,0.9499564,0.08511997,ZFL
PVR,TIGIT,Endothelial,T_cells,0.18100384,0.46764916,0.08464629,ZFL
VSIR,VSIR,B_Plasma,Myeloid,0.14877328,0.56510955,0.0840732,ZFL
VSIR,VSIR,Myeloid,B_Plasma,0.56510955,0.14877328,0.0840732,ZFL
TNFSF10,TNFRSF10A,Epithelial,B_Plasma,1.0864445,0.07720784,0.083882034,ZFL
CCL3,CCR1,NK,Myeloid,0.8203835,0.10204218,0.083713725,ZFL
TGFB1,TGFBR2,Endothelial,T_cells,0.2714989,0.30632266,0.083166264,ZFL
TGFB1,TGFBR1,NK,B_Plasma,1.7413386,0.04757677,0.08284727,ZFL
NECTIN2,TIGIT,Fibroblasts,NK,0.40069076,0.20442195,0.08190999,ZFL
TNF,TNFRSF1B,B_Plasma,NK,0.06457142,1.2660002,0.08174743,ZFL
VSIR,VSIR,Mast,Endothelial,0.26375058,0.30578104,0.08064993,ZFL
VSIR,VSIR,Endothelial,Mast,0.30578104,0.26375058,0.08064993,ZFL
TGFB1,TGFBR2,Myeloid,Mast,0.44228432,0.18212114,0.08054932,ZFL
TGFB1,TGFBR2,B_Plasma,B_Plasma,0.3974815,0.20224209,0.08038749,ZFL
TGFB1,TGFBR1,T_cells,Myeloid,0.70036894,0.11449017,0.080185354,ZFL
CCL5,CCR5,NK,Myeloid,2.3336265,0.034280792,0.07999857,ZFL
VSIR,VSIR,T_cells,Endothelial,0.25953647,0.30578104,0.079361334,ZFL
VSIR,VSIR,Endothelial,T_cells,0.30578104,0.25953647,0.079361334,ZFL
CCL4,CCR5,Myeloid,T_cells,1.3618289,0.05809392,0.07911398,ZFL
VEGFA,FLT1,Mast,Endothelial,0.11138481,0.71000963,0.079084285,ZFL
IL18,IL18R1,Myeloid,NK,0.42937818,0.1828071,0.07849338,ZFL
TNFSF10,TNFRSF10A,B_Plasma,Endothelial,0.45982772,0.17026047,0.078290485,ZFL
VSIR,VSIR,Fibroblasts,Endothelial,0.25354576,0.30578104,0.07752948,ZFL
VSIR,VSIR,Endothelial,Fibroblasts,0.30578104,0.25354576,0.07752948,ZFL
IL1B,IL1R1,Myeloid,T_cells,0.7867786,0.09831874,0.07735509,ZFL
CCL19,CCR7,Fibroblasts,B_Plasma,0.3972442,0.19449145,0.0772606,ZFL
CCL4,CCR5,NK,Myeloid,2.2434614,0.034280792,0.076907635,ZFL
CCL5,CCR5,Fibroblasts,NK,0.42040038,0.1828071,0.07685217,ZFL
CCL5,CCR5,Myeloid,NK,0.4165314,0.1828071,0.076144904,ZFL
LGALS9,HAVCR2,Mast,Myeloid,0.28210396,0.26990834,0.07614221,ZFL
TGFB1,TGFBR1,Mast,Myeloid,0.66367453,0.11449017,0.07598421,ZFL
CXCL16,CXCR6,Myeloid,T_cells,0.584952,0.12773828,0.07472076,ZFL
CCL5,CCR5,Endothelial,NK,0.40796795,0.1828071,0.07457944,ZFL
CCL3,CCR5,Myeloid,T_cells,1.2733517,0.05809392,0.07397399,ZFL
TNFSF13B,TNFRSF13C,Myeloid,B_Plasma,0.32823575,0.22505286,0.07387039,ZFL
NECTIN2,TIGIT,Myeloid,NK,0.35723436,0.20442195,0.073026545,ZFL
CCL5,CCR5,B_Plasma,NK,0.3965935,0.1828071,0.07250011,ZFL
TGFB1,TGFBR2,B_Plasma,Mast,0.3974815,0.18212114,0.07238979,ZFL
LGALS9,HAVCR2,Mast,Mast,0.28210396,0.25627533,0.072296284,ZFL
TGFB1,TGFBR2,T_cells,Epithelial,0.70036894,0.10321083,0.07228566,ZFL
TNFSF10,TNFRSF10A,Fibroblasts,T_cells,0.6570234,0.108989745,0.07160881,ZFL
TGFB1,TGFBR1,T_cells,T_cells,0.70036894,0.10170457,0.07123072,ZFL
TNFSF4,TNFRSF4,B_Plasma,NK,0.08611382,0.8232611,0.07089415,ZFL
PDGFB,PDGFRB,Epithelial,Fibroblasts,0.06218895,1.1384406,0.07079843,ZFL
TNFSF10,TNFRSF10A,NK,T_cells,0.6478593,0.108989745,0.07061002,ZFL
CCL5,CCR5,Epithelial,NK,0.38524908,0.1828071,0.07042627,ZFL
IL18,IL18R1,Epithelial,NK,0.3821371,0.1828071,0.069857374,ZFL
IFNG,IFNGR1,T_cells,NK,0.08230233,0.8468089,0.06969435,ZFL
VSIR,VSIR,Mast,Mast,0.26375058,0.26375058,0.06956437,ZFL
CD47,SIRPA,NK,Myeloid,0.21970509,0.31281358,0.06872673,ZFL
TGFB1,TGFBR2,Mast,Epithelial,0.66367453,0.10321083,0.068498395,ZFL
VSIR,VSIR,T_cells,Mast,0.25953647,0.26375058,0.068452895,ZFL
VSIR,VSIR,Mast,T_cells,0.26375058,0.25953647,0.068452895,ZFL
TGFB1,TGFBR1,Mast,T_cells,0.66367453,0.10170457,0.06749873,ZFL
VSIR,VSIR,T_cells,T_cells,0.25953647,0.25953647,0.06735918,ZFL
VSIR,VSIR,Fibroblasts,Mast,0.25354576,0.26375058,0.06687284,ZFL
VSIR,VSIR,Mast,Fibroblasts,0.26375058,0.25354576,0.06687284,ZFL
VEGFA,FLT1,Fibroblasts,Endothelial,0.09326805,0.71000963,0.066221215,ZFL
VSIR,VSIR,T_cells,Fibroblasts,0.25953647,0.25354576,0.06580437,ZFL
VSIR,VSIR,Fibroblasts,T_cells,0.25354576,0.25953647,0.06580437,ZFL
CCL4,CCR5,T_cells,T_cells,1.1297541,0.05809392,0.065631844,ZFL
PDGFB,PDGFRB,Fibroblasts,Fibroblasts,0.05664573,1.1384406,0.0644878,ZFL
VSIR,VSIR,Fibroblasts,Fibroblasts,0.25354576,0.25354576,0.06428545,ZFL
CCL5,CCR5,T_cells,Myeloid,1.8639083,0.034280792,0.06389625,ZFL
TGFB1,TGFBR2,Myeloid,Myeloid,0.44228432,0.14432,0.06383047,ZFL
TNFSF10,TNFRSF10A,Mast,Myeloid,1.1906414,0.053103674,0.06322743,ZFL
NECTIN2,TIGIT,Epithelial,NK,0.30630407,0.20442195,0.062615275,ZFL
TGFB1,TGFBR2,Fibroblasts,Fibroblasts,0.28792688,0.21671686,0.06239861,ZFL
CXCL12,CXCR4,Endothelial,Mast,0.51653033,0.119768836,0.06186424,ZFL
TNFSF10,TNFRSF10A,T_cells,T_cells,0.56566405,0.108989745,0.06165158,ZFL
VSIR,VSIR,Epithelial,Endothelial,0.20012036,0.30578104,0.06119301,ZFL
VSIR,VSIR,Endothelial,Epithelial,0.30578104,0.20012036,0.06119301,ZFL
VEGFA,FLT1,Epithelial,Endothelial,0.08543802,0.71000963,0.06066182,ZFL
TNFSF10,TNFRSF10A,Myeloid,T_cells,0.5504189,0.108989745,0.05999002,ZFL
TGFB1,TGFBR2,Epithelial,T_cells,0.19567482,0.30632266,0.059939634,ZFL
CSF1,CSF1R,Epithelial,Myeloid,0.06288797,0.9499564,0.059740826,ZFL
IL18,IL18R1,Mast,T_cells,0.61132425,0.097222455,0.059434444,ZFL
TNF,TNFRSF1B,B_Plasma,T_cells,0.06457142,0.9141563,0.05902837,ZFL
TNFSF4,TNFRSF4,NK,Endothelial,0.38917944,0.15136372,0.058907647,ZFL
TGFB1,TGFBR2,Endothelial,Fibroblasts,0.2714989,0.21671686,0.058838386,ZFL
TNFSF10,TNFRSF10A,Endothelial,Myeloid,1.1071792,0.053103674,0.05879528,ZFL
TGFB1,TGFBR2,Fibroblasts,B_Plasma,0.28792688,0.20224209,0.058230937,ZFL
TNFSF13B,TNFRSF13C,NK,B_Plasma,0.25867993,0.22505286,0.058216657,ZFL
TNF,TNFRSF1A,Myeloid,T_cells,0.24713282,0.23534504,0.058161482,ZFL
CCL5,CCR1,Mast,Myeloid,0.5686229,0.10204218,0.05802352,ZFL
TNFSF10,TNFRSF10A,Epithelial,Myeloid,1.0864445,0.053103674,0.057694193,ZFL
TGFB1,TGFBR2,B_Plasma,Myeloid,0.3974815,0.14432,0.057364527,ZFL
TNFSF14,TNFRSF14,T_cells,NK,0.12501428,0.45762953,0.057210226,ZFL
CXCL12,CXCR4,Endothelial,Endothelial,0.51653033,0.10770994,0.05563545,ZFL
CCL5,CCR4,Mast,T_cells,0.5686229,0.09729347,0.05532329,ZFL
LGALS9,HAVCR2,Myeloid,T_cells,0.7601426,0.07267058,0.055240005,ZFL
CD47,SIRPA,Epithelial,Endothelial,0.44538352,0.123351194,0.05493859,ZFL
TGFB1,TGFBR2,Endothelial,B_Plasma,0.2714989,0.20224209,0.054908503,ZFL
TNFSF10,TNFRSF10A,Fibroblasts,Epithelial,0.6570234,0.08324185,0.05469184,ZFL
TGFB1,TGFBR1,T_cells,Epithelial,0.70036894,0.07798171,0.054615967,ZFL
NECTIN2,TIGIT,Mast,NK,0.2667465,0.20442195,0.05452884,ZFL
BMP4,BMPR1A,Fibroblasts,Mast,0.22651272,0.23950872,0.05425177,ZFL
TGFB1,TGFBR1,T_cells,Fibroblasts,0.70036894,0.07717752,0.054052737,ZFL
TNFSF10,TNFRSF10A,NK,Epithelial,0.6478593,0.08324185,0.053929005,ZFL
TNFSF10,TNFRSF10A,Fibroblasts,Mast,0.6570234,0.08198706,0.053867415,ZFL
CCL5,CCR1,NK,B_Plasma,2.3336265,0.022780398,0.05316094,ZFL
TNFSF10,TNFRSF10A,NK,Mast,0.6478593,0.08198706,0.05311608,ZFL
TNF,TNFRSF1A,T_cells,T_cells,0.2247909,0.23534504,0.05290342,ZFL
VSIR,VSIR,Epithelial,Mast,0.20012036,0.26375058,0.05278186,ZFL
VSIR,VSIR,Mast,Epithelial,0.26375058,0.20012036,0.05278186,ZFL
CXCL12,CXCR4,Fibroblasts,Mast,0.43791845,0.119768836,0.052448984,ZFL
TGFB1,TGFBR2,Fibroblasts,Mast,0.28792688,0.18212114,0.052437574,ZFL
CCL5,CCR1,NK,Fibroblasts,2.3336265,0.022454064,0.0523994,ZFL
VSIR,VSIR,Epithelial,T_cells,0.20012036,0.25953647,0.051938534,ZFL
VSIR,VSIR,T_cells,Epithelial,0.25953647,0.20012036,0.051938534,ZFL
TGFB1,TGFBR1,Mast,Epithelial,0.66367453,0.07798171,0.051754475,ZFL
TNF,TNFRSF1A,Myeloid,B_Plasma,0.24713282,0.20889758,0.05162545,ZFL
TGFB1,TGFBR1,Mast,Fibroblasts,0.66367453,0.07717752,0.051220752,ZFL
