sender,receiver,sample,count,total_strength
Mast,Fibroblasts,HJX,42,0.7094093251
Mast,Fibroblasts,ZFL,57,0.525775822542
Mast,Fibroblasts,ZLF,56,0.885244414996
Mast,Mast,HJX,21,1.0031338049
Mast,Mast,ZFL,39,0.95728895065
Mast,Mast,ZLF,53,1.23735237829
Mast,Myeloid,HJX,43,1.89089197691
Mast,Myeloid,ZFL,60,1.4829506434175
Mast,Myeloid,ZLF,62,2.018987247838
Mast,NK,ZFL,18,1.7614367484
Mast,NK,ZLF,55,1.08349469319
Mast,T_cells,HJX,43,1.22061394595
Mast,T_cells,ZFL,60,1.137970692854
Mast,T_cells,ZLF,62,1.787443015543
Myeloid,B_Plasma,HJX,82,1.113777789216
Myeloid,B_Plasma,ZFL,72,0.6425781062236
Myeloid,B_Plasma,ZLF,81,1.70477700245308
Myeloid,Endothelial,HJX,72,2.3533467851075
Myeloid,Endothelial,ZFL,72,1.6639301642047999
Myeloid,Endothelial,ZLF,78,2.156525141042
Myeloid,Epithelial,HJX,82,1.351809878975
Myeloid,Epithelial,ZFL,79,0.58017373971314
Myeloid,Epithelial,ZLF,82,1.2271982593645
Myeloid,Fibroblasts,HJX,73,1.4685908293
Myeloid,Fibroblasts,ZFL,73,1.0904082297621
Myeloid,Fibroblasts,ZLF,73,1.5777422639792
Myeloid,Mast,HJX,36,1.7101582525399999
Myeloid,Mast,ZFL,50,1.02544519088
Myeloid,Mast,ZLF,69,1.747933482706
Myeloid,Myeloid,HJX,82,2.9582360259450002
Myeloid,Myeloid,ZFL,78,1.7249245500544
Myeloid,Myeloid,ZLF,82,2.5318229724608
Myeloid,NK,HJX,1,0.041593563
Myeloid,NK,ZFL,21,2.4779716515
Myeloid,NK,ZLF,73,1.8551019647427
Myeloid,T_cells,HJX,82,3.359365071763
Myeloid,T_cells,ZFL,79,1.9756780489129
Myeloid,T_cells,ZLF,82,3.3082041883833
NK,B_Plasma,HJX,4,0.482593389
NK,B_Plasma,ZFL,24,0.85560418889
NK,B_Plasma,ZLF,69,1.654130906133
NK,Endothelial,HJX,4,3.47938874
NK,Endothelial,ZFL,21,2.5391297224
NK,Endothelial,ZLF,67,2.08176472619
NK,Epithelial,HJX,4,1.028678314
NK,Epithelial,ZFL,26,0.61438688414
NK,Epithelial,ZLF,70,1.1327342853635
NK,Fibroblasts,HJX,4,0.60850159
NK,Fibroblasts,ZFL,24,1.22281224191
NK,Fibroblasts,ZLF,63,1.1271413896190001
NK,Mast,ZFL,14,0.9681116853
NK,Mast,ZLF,60,1.458496948041
NK,Myeloid,HJX,4,2.6917759240000003
NK,Myeloid,ZFL,26,1.86361129585
NK,Myeloid,ZLF,70,2.21240470349
NK,NK,ZFL,11,3.69929044
NK,NK,ZLF,62,1.50164342599
NK,T_cells,HJX,4,0.369441588
NK,T_cells,ZFL,26,2.1172659925
NK,T_cells,ZLF,70,2.3754539795556
T_cells,B_Plasma,HJX,83,0.75011181777
T_cells,B_Plasma,ZFL,76,0.552775126416
T_cells,B_Plasma,ZLF,82,1.4858037478973
T_cells,Endothelial,HJX,73,1.696840733216
T_cells,Endothelial,ZFL,76,1.46830823328308
T_cells,Endothelial,ZLF,80,1.7140215345954
T_cells,Epithelial,HJX,83,0.843454318294
T_cells,Epithelial,ZFL,83,0.5362172504663
T_cells,Epithelial,ZLF,83,0.994171991048
T_cells,Fibroblasts,HJX,74,0.87817762426
T_cells,Fibroblasts,ZFL,77,0.73244073805262
T_cells,Fibroblasts,ZLF,75,1.041174010868
T_cells,Mast,HJX,37,1.2049544953
T_cells,Mast,ZFL,53,0.732140516592
T_cells,Mast,ZLF,70,1.277657651416
T_cells,Myeloid,HJX,83,1.9713672800645
T_cells,Myeloid,ZFL,82,1.53090233797888
T_cells,Myeloid,ZLF,83,2.0881190297764
T_cells,NK,HJX,1,0.15751737
T_cells,NK,ZFL,21,2.19300190677
T_cells,NK,ZLF,75,1.296775908651
T_cells,T_cells,HJX,83,1.792388491235
T_cells,T_cells,ZFL,83,1.5230189812766
T_cells,T_cells,ZLF,83,2.1849298905825
